"Vorname";"Nachname";"Jahrgang";"Partei";"Wahlkreis";"Bundesland";"Listenplatz";
"Julia";"Scheller";1982;"MLPD";;"Baden-Württemberg";2;
"Pia";"Schellhammer";1985;"GRÜNE";207;"Rheinland-Pfalz";5;
"Karsten";"Schenk";1976;"CDU";;"Hessen";46;
"Dr. Frank";"Schepke";1935;;6;;;
"Mark";"Schepke";1966;;8;;;
"Prof. Dr. Dr. Christian";"Scherer";1956;"CDU";;"Niedersachsen";46;
"Philipp";"Scherer";1984;"PIRATEN";208;;;
"Ursula";"Scherer";1937;"CDU";;"Baden-Württemberg";43;
"Heidemarie";"Scheuch-Paschkewitz";1959;"DIE LINKE";171;"Hessen";5;
"Dr. Andreas";"Scheuer";1974;"CSU";229;;;
"David";"Schichel";1981;"GRÜNE";104;;;
"Dr. Gerhard";"Schick";1972;"GRÜNE";275;"Baden-Württemberg";4;
"Jens-Wolfhard";"Schicke";1987;"PIRATEN";51;"Niedersachsen";5;
"Alois";"Schieber";1964;"BüSo";217;"Bayern";11;
"Marianne";"Schieder";1962;"SPD";234;"Bayern";6;
"Werner";"Schieder";1948;"SPD";235;"Bayern";15;
"Udo";"Schiefner";1959;"SPD";112;"Nordrhein-Westfalen";21;
"Nico";"Schiemann";1979;"NPD";272;;;
"Cornelia";"Schiergott";1956;"CDU";;"Sachsen-Anhalt";12;
"Karl Richard Maria";"Schiewerling";1951;"CDU";128;;;
"Hans Lothar";"Schiffer";1939;"FDP";104;"Nordrhein-Westfalen";34;
"Barbara";"Schilke";1953;"MLPD";;"Mecklenburg-Vorpommern";1;
"Albert";"Schill";1946;"CDU";;"Sachsen";11;
"Dr. Konrad";"Schily";1937;"FDP";140;;;
"Wolfgang";"Schimmel";1962;"NPD";4;"Schleswig-Holstein";7;
"Gabriela";"Schimmer-Göresz";1952;"ödp";;"Bayern";8;
"Herold Albert";"Schincke";1951;;122;;;
"Jörg";"Schindler";1972;"DIE LINKE";71;"Sachsen-Anhalt";8;
"Norbert";"Schindler";1949;"CDU";209;"Rheinland-Pfalz";5;
"Tankred";"Schipanski";1976;"CDU";192;"Thüringen";7;
"Georg";"Schirmbeck";1949;"CDU";39;"Niedersachsen";24;
"Alexander";"Schirrah";1969;"SPD";;"Saarland";7;
"Tobias";"Schläger";1984;"SPD";;"Thüringen";11;
"Britta Sylvia";"Schlage";1956;"SPD";;"Hamburg";6;
"Richard";"Schlappa";1949;"DIE LINKE";246;;;
"Michael";"Schlecht";1951;"DIE LINKE";275;"Baden-Württemberg";4;
"Laura";"Schlegelberger";1983;"CDU";;"Schleswig-Holstein";16;
"Paul Friedrich Georg Martin";"Schlesinger";1947;"MLPD";123;;;
"Gudrun";"Schlett";1961;"DIE LINKE";245;"Bayern";9;
"Gertraude";"Schlierer";1928;"REP";;"Baden-Württemberg";17;
"Dr. Rolf";"Schlierer";1955;"REP";;"Baden-Württemberg";1;
"Hanns-Dieter";"Schlierf";1954;"ödp";226;"Bayern";12;
"Bernd";"Schlitter-Bankloh";1942;"MLPD";;"Nordrhein-Westfalen";14;
"Klaus-Dieter";"Schlottmann";1949;"PBC";46;;;
"Bärbel";"Schlude";1976;"REP";;"Bayern";22;
"Andrew";"Schlüter";1967;"MLPD";83;"Berlin";1;
"Sanja";"Schlüter";1977;"MLPD";;"Berlin";7;
"Philipp";"Schmagold";1979;"GRÜNE";170;"Hessen";24;
"Andreas";"Schmalcz";1965;"CSU";;"Bayern";57;
"Brigitte";"Schmid";1952;"GRÜNE";291;;;
"Hans";"Schmid";1942;"CDU";;"Rheinland-Pfalz";23;
"Walter";"Schmid";1953;"DIE LINKE";291;;;
"Werner";"Schmidberger";1937;"ADM";;"Baden-Württemberg";6;
"Michaela";"Schmidinger";1969;"DVU";;"Baden-Württemberg";1;
"Andreas";"Schmidt";1956;"CDU";119;"Nordrhein-Westfalen";26;
"Birger";"Schmidt";1973;"PIRATEN";241;;;
"Carina";"Schmidt";1986;"FDP";276;"Baden-Württemberg";21;
"Christel";"Schmidt";1936;"REP";;"Rheinland-Pfalz";2;
"Christian";"Schmidt";1957;"CSU";243;"Bayern";12;
"Dagmar";"Schmidt";1973;"SPD";173;"Hessen";12;
"Edda";"Schmidt";1948;"NPD";290;"Baden-Württemberg";3;
"Ekkehard";"Schmidt";1946;"SPD";;"Hessen";39;
"Franz";"Schmidt";1974;"FDP";217;"Bayern";48;
"Dr. Frithjof";"Schmidt";1953;"GRÜNE";141;"Nordrhein-Westfalen";4;
"Gabriele";"Schmidt";1956;"CDU";;"Baden-Württemberg";17;
"Hans";"Schmidt";1939;"NPD";295;;;
"Heiko";"Schmidt";1988;"GRÜNE";249;;;
"Ingrid";"Schmidt";1938;"CM";;"Bayern";6;
"Karlheinz";"Schmidt";1941;"CM";;"Bayern";2;
"Marion Beate Friederike";"Schmidt";1954;"MLPD";;"Bayern";10;
"Miriam";"Schmidt";1980;"SPD";;"Nordrhein-Westfalen";42;
"Renate";"Schmidt";1959;"MLPD";;"Baden-Württemberg";14;
"Rudolf";"Schmidt";1967;"PBC";;"Bremen";5;
"Rudolf Lothar";"Schmidt";1951;"DIE LINKE";162;"Sachsen";15;
"Silvia";"Schmidt";1954;"SPD";75;"Sachsen-Anhalt";3;
"Stefan";"Schmidt";1985;"SPD";;"Saarland";16;
"Tim";"Schmidt";1969;"PIRATEN";;"Berlin";5;
"Ulla";"Schmidt";1949;"SPD";88;"Nordrhein-Westfalen";4;
"Lars";"Schmidt-Berg";1978;"CDU";;"Niedersachsen";38;
"Ekkehard Arno Walter";"Schmidt-Riediger";1939;"CDU";;"Niedersachsen";35;
"Christiane";"Schmidt-Rose";1959;"CDU";;"Thüringen";10;
"Brigitte Maria";"Schmitt";1973;"FAMILIE";;"Rheinland-Pfalz";7;
"Christian";"Schmitt";1981;"FDP";299;"Saarland";2;
"Heinz";"Schmitt";1951;"SPD";212;"Rheinland-Pfalz";11;
"Ingo";"Schmitt";1979;"CDU";81;;;
"Michael";"Schmitt";1971;"FAMILIE";;"Rheinland-Pfalz";2;
"Thomas";"Schmitt";1973;"CDU";;"Saarland";14;
"Andreas";"Schmitz";1965;"GRÜNE";100;;;
"Christian";"Schmitz";1975;"SPD";;"Rheinland-Pfalz";25;
"Jürgen Theo";"Schmitz";1965;;93;;;
"Dominik";"Schmoll";1988;"SPD";;"Saarland";12;
"Ulrich";"Schmück";1961;"FDP";2;"Schleswig-Holstein";7;
"Hermann August";"Schnarre";1935;"NPD";121;;;
"Andreas";"Schneider";1963;;117;;;
"Astrid";"Schneider";1965;"GRÜNE";;"Berlin";9;
"Carsten";"Schneider";1976;"SPD";193;"Thüringen";1;
"Franz-Herbert";"Schneider";1949;"REP";;"Nordrhein-Westfalen";13;
"Gerda";"Schneider";1959;"CDU";;"Baden-Württemberg";56;
"Guntram";"Schneider";1951;"SPD";133;;;
"Dr. Heinz-Joachim Herbert";"Schneider";1939;"REP";;"Thüringen";1;
"Horst";"Schneider";1959;"DIE LINKE";;"Hamburg";8;
"Maria Magdalena";"Schneider";1940;"CDU";;"Saarland";17;
"Matthias";"Schneider";1960;"GRÜNE";117;;;
"Norbert";"Schneider";1964;"DIE LINKE";196;"Thüringen";9;
"Philipp";"Schneider";1983;"SPD";;"Saarland";15;
"Sebastian";"Schneider";1985;"PIRATEN";;"Berlin";6;
"Steffen";"Schneider";1968;"NPD";195;;;
"Ulrich";"Schneider";1972;"GRÜNE";267;"Baden-Württemberg";18;
"Volker";"Schneider";1955;"DIE LINKE";296;;;
"Franz Xaver";"Schneiderbauer";1940;"REP";;"Bayern";23;
"Charlotte";"Schneidewind-Hartnagel";1953;"GRÜNE";277;"Baden-Württemberg";13;
"Jochim";"Schnell";1976;"NPD";40;"Niedersachsen";11;
"Patrick";"Schnieder";1968;"CDU";203;"Rheinland-Pfalz";12;
"Monya";"Schnittke";1985;"GRÜNE";122;;;
"Michael";"Schnorr";1954;"NPD";103;;;
"Toralf";"Schnur";1975;"FDP";17;"Mecklenburg-Vorpommern";5;
"Christoph";"Schnurr";1984;"FDP";183;"Hessen";8;
"Thomas Friedrich";"Schock";1968;"DIE LINKE";139;;;
"Dr. Andreas";"Schockenhoff";1957;"CDU";294;;;
"Rudi";"Schöberl";1955;"DIE LINKE";230;;;
"Carolin";"Schoen";1978;"CSU";;"Bayern";37;
"Friedrich";"Schönbeck";1937;;291;;;
"Tilo";"Schöne";1957;"REP";;"Bayern";16;
"Renate";"Schönfeld";1948;"DKP";;"Berlin";6;
"Siegfried";"Schönfeld";1950;"GRÜNE";123;;;
"Detlef";"Schönig";1955;"DIE LINKE";293;"Baden-Württemberg";16;
"Uwe";"Schönwald";1963;"DVU";;"Sachsen-Anhalt";3;
"Richard";"Schöps";1967;"BP";;"Bayern";38;
"Steffen";"Schöps";1970;"FDP";278;"Baden-Württemberg";25;
"Alexander";"Scholl";1985;"NPD";267;;;
"Frank";"Scholz";1965;"BüSo";78;"Berlin";10;
"Günter";"Scholz";1960;"REP";;"Sachsen";2;
"Marcell";"Scholz";1986;"REP";;"Sachsen";10;
"Mike";"Scholz";1975;"REP";;"Thüringen";3;
"Olaf";"Scholz";1958;"SPD";20;"Hamburg";1;
"Manuela";"Schon";1982;"DIE LINKE";;"Hessen";9;
"Alexander";"Schopf";1977;"FDP";265;"Baden-Württemberg";20;
"Susanne";"Schoppen";1948;"FDP";;"Hessen";39;
"Erwin";"Schott";1952;"DIE VIOLETTEN";206;;;
"Fritz";"Schowald";1953;"VIOLETTEN";;"Baden-Württemberg";8;
"Hartmut";"Schrader";1950;;179;;;
"Henning";"Schramm";1962;"CDU";;"Mecklenburg-Vorpommern";12;
"Inge";"Schramm";1960;;242;;;
"Robert";"Schramm";1959;"ödp";;"Rheinland-Pfalz";18;
"Elke";"Schreiber";1945;"SPD";;"Schleswig-Holstein";17;
"Peter";"Schreiber";1973;"NPD";156;;;
"Bernd Nobert Harry";"Schreiner";1967;"PIRATEN";;"Thüringen";3;
"Bertold";"Schreiner";1960;"BüSo";;"Baden-Württemberg";6;
"Ottmar";"Schreiner";1946;"SPD";297;"Saarland";2;
"Jendrik";"Schröder";1984;"SPD";;"Niedersachsen";33;
"Dr. Ole";"Schröder";1971;"CDU";7;"Schleswig-Holstein";2;
"Patrick Hermann";"Schröder";1983;"NPD";225;"Bayern";6;
"Thea";"Schröder";1939;"VIOLETTEN";;"Bayern";11;
"Ulrich";"Schröder";1947;"DIE LINKE";30;;;
"Petra";"Schröer";1960;"SPD";;"Nordrhein-Westfalen";70;
"Andrea";"Schrutek";1963;"DIE LINKE";165;"Sachsen";13;
"Prof. Gottfried";"Schubert";1931;"REP";223;"Bayern";3;
"Jörg Hans";"Schubert";1956;"NPD";163;;;
"Katina";"Schubert";1961;"DIE LINKE";;"Brandenburg";7;
"Arnd";"Schubeus";1967;"REP";;"Nordrhein-Westfalen";5;
"Gabriele";"Schuchalter-Eicke";1952;"GRÜNE";179;"Hessen";23;
"Dr. Lothar";"Schuchmann";1940;"DIE LINKE";288;;;
"Robert";"Schuder";1968;"BP";;"Bayern";42;
"Heiner Helmut Willi";"Schülke";1950;"FDP";41;"Niedersachsen";11;
"Monika";"Schüllenbach-Schöne";1941;"Tierschutz";;"Bayern";3;
"Jörg";"Schümann";1960;"GRÜNE";232;;;
"Perdita";"Schünemann";1960;"VIOLETTEN";;"Berlin";4;
"Sigrid";"Schüßler";1969;"NPD";;"Bayern";4;
"Rainer";"Schütten";1953;"SPD";;"Nordrhein-Westfalen";73;
"Daniel";"Schütz";1931;"BP";;"Bayern";40;
"Jürgen";"Schützinger";1953;"NPD";286;"Baden-Württemberg";1;
"Rudolf";"Schützinger";1982;"NPD";280;"Baden-Württemberg";8;
"Herbert Karl";"Schui";1940;"DIE LINKE";37;"Niedersachsen";4;
"Graf von der Friedrich-Werner";"Schulenburg";1947;"NPD";50;;;
"Oliver";"Schulte";1979;"CSU";;"Bayern";38;
"Peter";"Schulte";1969;"DIE LINKE";149;"Nordrhein-Westfalen";29;
"Bernhard";"Schulte-Drüggelte";1951;"CDU";147;"Nordrhein-Westfalen";17;
"Daniel";"Schultheiß";1980;"PIRATEN";;"Thüringen";1;
"Frank";"Schultz";1972;"PIRATEN";;"Mecklenburg-Vorpommern";4;
"Vasco";"Schultz";1976;"DIE LINKE";23;;;
"Velda";"Schultz";1985;"ödp";;"Hamburg";4;
"Dr. Andreas";"Schulz";1970;"GRÜNE";;"Hessen";12;
"Dieter";"Schulz";1969;"NPD";140;;;
"Gerhard-Walter";"Schulz";1950;"DIE LINKE";48;;;
"Herbert Heinrich Paul";"Schulz";1947;"DIE LINKE";21;;;
"Dr. Horst";"Schulz";1943;"FWD";;"Brandenburg";7;
"Ines Rosika";"Schulz";1961;"VIOLETTEN";;"Berlin";6;
"Jimmy";"Schulz";1968;"FDP";222;"Bayern";10;
"Katrin";"Schulz";1959;"CDU";;"Schleswig-Holstein";12;
"Rico";"Schulz";1978;"BüSo";159;"Sachsen";13;
"Roland";"Schulz";1959;"DVU";;"Brandenburg";2;
"Swen";"Schulz";1968;"SPD";79;"Berlin";3;
"Erik";"Schulze";1984;"NPD";;"Sachsen-Anhalt";10;
"Prof. Dr. Joachim";"Schulze";1952;"GRÜNE";158;;;
"Karl-Heinz";"Schulze";1955;"MLPD";;"Mecklenburg-Vorpommern";3;
"Sigrid";"Schulze";1966;"REP";;"Hessen";10;
"Tobias";"Schulze";1976;"DIE LINKE";;"Berlin";10;
"Heinz";"Schumacher";1953;;187;;;
"Manfred";"Schumacher";1959;"ödp";;"Rheinland-Pfalz";7;
"Markus";"Schumacher";1977;"NPD";142;;;
"Ulrich";"Schumacher";1966;"PIRATEN";;"Nordrhein-Westfalen";1;
"Dieter";"Schumann";1953;;193;;;
"Ingo Martin Gerhard";"Schumann";1950;"MLPD";;"Sachsen";6;
"Robert";"Schumann";1947;"NPD";;"Saarland";5;
"Uwe";"Schummer";1957;"CDU";112;"Nordrhein-Westfalen";43;
"Ewald";"Schurer";1954;"SPD";214;"Bayern";9;
"Manfred";"Schurr";1966;"PBC";;"Baden-Württemberg";3;
"Alfred";"Schuster";1955;"SPD";;"Bayern";55;
"Armin";"Schuster";1961;"CDU";282;;;
"Marina";"Schuster";1975;"FDP";246;"Bayern";6;
"Peter";"Schuster";1950;"BP";;"Bayern";39;
"Thorsten";"Schuster";1964;"NPD";21;"Hamburg";5;
"Angelika";"Schwab";1959;"Tierschutz";;"Nordrhein-Westfalen";3;
"Frank";"Schwabe";1970;"SPD";122;"Nordrhein-Westfalen";43;
"Dr. Angelica Klara";"Schwall-Düren";1948;"SPD";128;"Nordrhein-Westfalen";2;
"Stefan";"Schwan";1969;"GRÜNE";138;;;
"Dr. Martin";"Schwanholz";1960;"SPD";40;"Niedersachsen";13;
"Rolf";"Schwanitz";1959;"SPD";167;"Sachsen";3;
"Stefan";"Schwartze";1974;"SPD";134;"Nordrhein-Westfalen";28;
"Andreas";"Schwarz";1979;"GRÜNE";262;;;
"Andreas";"Schwarz";1965;"SPD";236;"Bayern";29;
"Dr. Caroline";"Schwarz";1971;"BP";219;"Bayern";3;
"Dr. Christian";"Schwarz";1974;"CSU";;"Bayern";52;
"Jan";"Schwarz";1982;"SPD";;"Niedersachsen";47;
"Maria Viktoria";"Schwarz";1943;"CM";;"Bayern";7;
"Michael";"Schwarz";1984;"CDU";;"Rheinland-Pfalz";30;
"Ulrich";"Schwarz";1941;"NPD";259;;;
"Rita";"Schwarzelühr-Sutter";1962;"SPD";288;"Baden-Württemberg";16;
"Peter Paul Alfons";"Schwarzenberg";1949;"REP";;"Sachsen";5;
"Frank";"Schwarzer";1974;"DIE LINKE";133;;;
"Daniel";"Schweer";1982;"SPD";;"Niedersachsen";57;
"Dr. Erik";"Schweickert";1972;"FDP";279;"Baden-Württemberg";10;
"Dr. Hermann";"Schweiger";1954;"ödp";241;"Bayern";4;
"Angelika Elisabeth Christine";"Schweitzer";1949;"MLPD";;"Nordrhein-Westfalen";28;
"Gottfried";"Schweitzer";1946;"MLPD";95;;;
"Felix";"Schwenke";1979;"SPD";;"Hessen";31;
"Frank";"Schwerdt";1944;"NPD";193;;;
"Joachim";"Schwiderke";1961;"SPD";189;"Thüringen";8;
"Heinrich";"Schwimmbeck";1957;"DIE LINKE";236;;;
"Enrico";"Schwülbe";1973;"DIE LINKE";45;;;
"Clemens Johann";"Seebens";1955;"PBC";;"Bremen";2;
"Hans-Joachim";"Seeger";1943;"DIE LINKE";;"Niedersachsen";21;
"Valentin";"Seehausen";1990;"GRÜNE";2;;;
"Manfred";"Seel";1954;"DIE LINKE";254;;;
"Peter";"Seelmann";1952;"CDU";;"Rheinland-Pfalz";24;
"Harry";"Seemann";1955;;130;;;
"Wolfgand Josef Emil";"Seemann";1950;"ödp";;"Nordrhein-Westfalen";7;
"Ulrike";"Seemann-Katz";1955;"GRÜNE";12;"Mecklenburg-Vorpommern";7;
"Matthias";"Seestern-Pauly";1984;"FDP";39;"Niedersachsen";13;
"Norbert";"Segerath";1948;"DIE LINKE";114;;;
"Daniela";"Seibel";1969;"Tierschutz";;"Niedersachsen";5;
"Dietrich";"Seidel";1936;"NPD";34;;;
"Horst Gerhard";"Seidel";1940;"RRP";;"Nordrhein-Westfalen";2;
"Wolfgang";"Seidel";1969;"DIE LINKE";222;;;
"Lothar";"Seidemann";1950;"REP";280;"Baden-Württemberg";11;
"Dr. Hermann";"Seiderer";1941;"BP";;"Bayern";41;
"Daniela";"Seidl";1979;"FDP";216;"Bayern";29;
"Detlef";"Seif";1962;"CDU";93;"Nordrhein-Westfalen";50;
"Berthold";"Seifert";1964;"REP";;"Bayern";2;
"Dr. Ilja";"Seifert";1951;"DIE LINKE";158;"Sachsen";4;
"Till";"Seiler";1981;"GRÜNE";287;"Baden-Württemberg";16;
"Andreas";"Seitz";1967;"ödp";229;"Bayern";34;
"Petra";"Selg";1961;"GRÜNE";293;;;
"Jürgen";"Selke-Witzel";1967;"GRÜNE";50;;;
"Johannes";"Selle";1956;"CDU";191;"Thüringen";9;
"Markus";"Selzener";1964;"FDP";141;"Nordrhein-Westfalen";57;
"Reinhold";"Sendker";1952;"CDU";131;;;
"Mieke";"Senftleben";1952;"FDP";78;;;
"Kathrin";"Senger-Schäfer";1962;"DIE LINKE";208;"Rheinland-Pfalz";2;
"Alisan";"Sengül";1969;"DIE LINKE";146;;;
"Dr. Patrick";"Sensburg";1971;"CDU";148;;;
"Wolfgang";"Serway";1948;"MLPD";;"Baden-Württemberg";11;
"Raju";"Sharma";1964;"DIE LINKE";;"Schleswig-Holstein";2;
"Waltraud";"Siade";1959;;226;;;
"Thomas";"Sieber";1989;"BP";;"Bayern";43;
"Bernd";"Siebert";1949;"CDU";171;"Hessen";4;
"Hendrik Gerd";"Siegel";1977;"FDP";9;"Schleswig-Holstein";8;
"Christine";"Siegert";1955;"CDU";;"Sachsen-Anhalt";11;
"Harry";"Siegert";1947;"DIE LINKE";188;;;
"Udo";"Sieghart";1957;"NPD";247;;;
"Andreas";"Siegmund";1960;;67;;;
"Iris Ursula Elisabeth";"Siekiera";1956;"SPD";;"Niedersachsen";31;
"Dr. Carsten Günter Erich";"Sieling";1959;"SPD";55;"Bremen";3;
"Melanie";"Siemen";1974;"CDU";;"Schleswig-Holstein";25;
"Sabine";"Siemsen";1965;"DIE LINKE";;"Bayern";21;
"Michael";"Siethoff";1970;"Tierschutz";151;"Nordrhein-Westfalen";2;
"Gudrun";"Sievers";1961;"ödp";;"Niedersachsen";3;
"Wolfgang";"Siewert";1942;"GRÜNE";72;;;
"Kosima";"Sikora";1957;"FAMILIE";;"Bayern";2;
"Thomas";"Silberhorn";1968;"CSU";236;;;
"Herbert";"Simm";1954;"CDU";;"Baden-Württemberg";16;
"Martin";"Simmermann";1967;"DIE LINKE";;"Saarland";6;
"Werner";"Simmling";1944;"FDP";263;"Baden-Württemberg";14;
"Johannes";"Singhammer";1953;"CSU";218;"Bayern";8;
"Eugenia";"Singler";1958;"CDU";;"Baden-Württemberg";46;
"Christopher";"Sitte";1973;"FDP";;"Rheinland-Pfalz";20;
"Dr. Petra";"Sitte";1960;"DIE LINKE";73;"Sachsen-Anhalt";1;
"Judith";"Skudelny";1975;"FDP";262;"Baden-Württemberg";12;
"Hannelore";"Slaugh";1949;"Tierschutz";;"Hessen";9;
"Günter Paul";"Slave";1955;"MLPD";161;"Sachsen";1;
"Oliver";"Snelinski";1980;;87;;;
"Karl";"Söllner";1956;"SPD";233;"Bayern";37;
"Peter";"Sokolowski";1964;"GRÜNE";27;;;
"Dr. Hermann Otto";"Solms-Hohensolms-Lich Prinz zu";1940;"FDP";174;"Hessen";2;
"Lothar";"Sommer";1954;;61;;;
"Volker Christoph";"Sommer";1944;"ödp";;"Thüringen";11;
"Bernd";"Sommerau";1954;;60;;;
"Elke";"Sommermeyer";1954;"FDP";;"Hessen";22;
"Christoph";"Sonnenberg-Westeson";1969;"GRÜNE";79;;;
"Sebastian";"Sonner";1953;"ödp";;"Bayern";9;
"Sina";"Sossna";1990;"FDP";;"Nordrhein-Westfalen";44;
"Alois";"Späth";1937;;234;;;
"Jens";"Spahn";1980;"CDU";125;;;
"Dr. Günther";"Spangenberg";1935;"FWD";;"Brandenburg";3;
"Joachim";"Spatz";1964;"FDP";251;"Bayern";8;
"Heiko";"Spauke";1979;"REP";;"Sachsen";4;
"Tobias";"Specht";1977;"GRÜNE";257;;;
"Dr. Christoph Marcel";"Spehr";1963;"DIE LINKE";;"Bremen";8;
"Albert";"Speicher";1951;"DIE LINKE";;"Saarland";5;
"Viviane";"Spethmann-Berssenbrügge";1967;"CDU";;"Hamburg";7;
"Rainer";"Spiering";1956;"SPD";39;"Niedersachsen";26;
"Richard";"Spieß";1959;"DIE LINKE";233;"Bayern";8;
"Frank";"Spieth";1947;"DIE LINKE";193;;;
"Hans";"Spieth";1943;"ADM";;"Baden-Württemberg";4;
"Anita";"Spinner";1964;"ödp";276;;;
"Norbert";"Spinrath";1957;"SPD";90;"Nordrhein-Westfalen";58;
"Rolf";"Spitz";1960;"SPD";257;"Bayern";23;
"Wolfgang";"Spitz";1960;"CDU";;"Rheinland-Pfalz";28;
"Lars";"Spönlein";1972;"NPD";;"Nordrhein-Westfalen";7;
"Uta";"Spöri";1955;"DIE LINKE";281;"Baden-Württemberg";9;
"Ernst";"Sporer";1950;"GRÜNE";175;;;
"Heinz-Günter";"Sprodowski";1930;"Volksabst.";;"Baden-Württemberg";10;
"Matthias";"Stadie";1976;"REP";;"Mecklenburg-Vorpommern";3;
"Dr. Maximilian";"Stadler";1949;"FDP";229;"Bayern";2;
"Maren";"Stäbler";1983;"CDU";;"Baden-Württemberg";60;
"Torsten Heiko";"Staffeldt";1963;"FDP";55;"Bremen";1;
"Christian";"Stahl";1975;"CDU";;"Hessen";30;
"Rainer";"Staib";1969;"CDU";;"Baden-Württemberg";48;
"Josef";"Stalleicher";1950;"BüSo";;"Hessen";9;
"Martina";"Stalleicken";1979;"MLPD";;"Nordrhein-Westfalen";11;
"Markus";"Stamm";1970;"ödp";;"Nordrhein-Westfalen";8;
"Thomas";"Stamm";1968;"DIE LINKE";;"Thüringen";14;
"Martina";"Stamm-Fibich";1965;"SPD";242;"Bayern";38;
"Dr. Michael";"Stanglmaier";1963;"GRÜNE";215;;;
"Eduard";"Stapel";1953;"GRÜNE";67;;;
"Felix Johannes";"Staratschek";1966;"ödp";100;"Nordrhein-Westfalen";9;
"Bettina";"Stark-Watzinger";1968;"FDP";181;"Hessen";9;
"Alina";"Staszewski";1986;"REP";;"Bayern";10;
"Detlev";"Stauch";1953;"REP";;"Thüringen";2;
"Carola";"Stauche";1952;"CDU";196;"Thüringen";6;
"Peter";"Staudenhöchtl";1955;"REP";;"Bayern";12;
"Alfred";"Staudt";1958;"SPD";;"Saarland";6;
"Horst";"Stauffer";1934;"ödp";;"Rheinland-Pfalz";13;
"Ingo";"Stawitz";1950;"NPD";7;"Schleswig-Holstein";4;
"Britta";"Steck";1965;"GRÜNE";201;"Rheinland-Pfalz";7;
"Anna-Elisabeth";"Stefanutti-Bscheidl";1955;"BP";225;;;
"Dr. Frank";"Steffel";1966;"CDU";78;"Berlin";4;
"Sonja Amalie";"Steffen";1963;"SPD";15;"Mecklenburg-Vorpommern";2;
"Manfred";"Steidle";1958;"DIE LINKE";269;;;
"Günther";"Steiger";1958;"BP";;"Bayern";44;
"Marco Klaus Willy";"Steigert";1974;"REP";208;"Rheinland-Pfalz";4;
"Dr. Dieter";"Stein";1957;"MLPD";;"Hessen";6;
"Horst-Peter";"Stein";1960;"FDP";59;;;
"Kevin";"Stein";1984;"NPD";1;;;
"Peter";"Stein";1968;"CDU";14;"Mecklenburg-Vorpommern";7;
"Uli";"Stein";1957;"ödp";;"Baden-Württemberg";10;
"Erika";"Steinbach";1943;"CDU";183;"Hessen";3;
"Wilfried";"Steinberg";1940;"REP";;"Brandenburg";1;
"Holger";"Steinbiß";1971;"NPD";145;;;
"Peer";"Steinbrück";1947;"SPD";105;"Nordrhein-Westfalen";3;
"Dieter";"Steinecke";1954;"SPD";32;"Niedersachsen";20;
"Dorothea";"Steiner";1948;"GRÜNE";40;"Niedersachsen";3;
"Christina Theresa";"Steinheuer";1979;"FDP";199;"Rheinland-Pfalz";13;
"Lilli";"Steinke";1941;"Volksabst.";;"Baden-Württemberg";9;
"Frank-Thomas";"Steinle";1962;"VIOLETTEN";;"Bayern";14;
"Alfred";"Steinleitner";1960;"NPD";227;;;
"Dr. Frank-Walter";"Steinmeier";1956;"SPD";61;"Brandenburg";1;
"Sven";"Steinmeyer";1973;;220;;;
"Tom";"Steinwender";1978;"GRÜNE";;"Rheinland-Pfalz";12;
"Frank Alfred";"Stengel";1969;"Freie Union";257;;;
"Claus";"Stenglein";1957;"SPD";240;"Bayern";39;
"Margitta Gisela";"Stephan";1964;;257;;;
"André";"Stephany";1989;"CDU";;"Baden-Württemberg";51;
"Andreas";"Steppuhn";1962;"SPD";69;"Sachsen-Anhalt";6;
"Stephan Peter";"Sterk";1965;"VIOLETTEN";;"Bayern";9;
"Christian Alexander";"Stetten von";1970;"CDU";268;;;
"Christian";"Steup";1978;"NPD";84;"Rheinland-Pfalz";3;
"Hendrik";"Stiefel";1983;"PIRATEN";;"Thüringen";6;
"Dieter";"Stier";1964;"CDU";74;"Sachsen-Anhalt";7;
"Franziska";"Stier";1984;"DIE LINKE";287;"Baden-Württemberg";11;
"Frank Joachim";"Stierlin";1950;"MLPD";;"Nordrhein-Westfalen";25;
"Hauke";"Stiewe";1971;;84;;;
"Sebastian";"Stiffel";1984;"PIRATEN";;"Mecklenburg-Vorpommern";1;
"Dr. Rainer";"Stinner";1947;"FDP";219;"Bayern";3;
"Madeleine";"Stockert";1947;"MLPD";208;"Rheinland-Pfalz";1;
"Hans-Achim";"Stockhausen von";1945;"FDP";133;"Nordrhein-Westfalen";53;
"Hans Joachim";"Stockschläger";1959;"FDP";110;"Nordrhein-Westfalen";26;
"Christiane";"Stodt-Kirchholtes";1962;"GRÜNE";;"Schleswig-Holstein";7;
"Sebastian";"Stöber";1977;"NPD";37;;;
"Daniel";"Stöckel";1979;"ödp";;"Baden-Württemberg";8;
"Volker";"Stöckel";1966;;40;;;
"Matthias";"Stoll";1965;"PIRATEN";;"Niedersachsen";4;
"Peter";"Stoltenberg";1949;"GRÜNE";8;;;
"Phillip";"Stompfe";1984;"CDU";;"Hessen";35;
"Gero";"Storjohann";1958;"CDU";8;"Schleswig-Holstein";5;
"Andreas";"Storm";1964;"CDU";186;"Hessen";5;
"Axel";"Stoßno";1967;"FDP";;"Bayern";39;
"Veronika";"Stossun";1949;"DIE LINKE";270;;;
"Stephan";"Stracke";1974;"CSU";257;;;
